Governor ID,Governor Name,Power,Kill Points,Deaths,T1,T2,T3,T4,T5,Kills,Kills (T4+),Ranged Points,RSS Gathered,RSS Assistance,Helps,Alliance
27904876,ClodoMiro,71269488,59560409,10331091,3127318,251314,41727,1839621,1993460,7253440,3833081,0,15783428541,1907993695,25113,[~TB]~True Blood~
41068925,Karib1,66139099,59247432,10935275,156554,412765,330358,2606508,1550204,5056389,4156712,0,8990288605,3070720920,19885,[~TB]~True Blood~
46166732,GariBaza,66077748,152792053,9259368,62395739,365129,156617,4583370,4656124,72156979,9239494,0,8465638300,848770362,27147,[SRO9]Passport and Farmer
44415443,執政官44415443,65335260,35771370,6421400,1966493,336824,12401,814648,1325417,4455783,2140065,0,15172613229,4619344113,6240,[PE-A]PeacefulExit Academy
40931180,Nigol78,65314358,63428160,5849350,2022152,323120,57335,2291031,1961892,6655530,4252923,0,6028018759,1331508126,29055,-
43001521,2AHMED1977,65258060,69716092,8166081,4874921,26276,33384,2251280,2302111,9487972,4553391,0,20581873268,1154880897,40217,[~TB]~True Blood~
41019532,skdjfhrbf,64825164,10554104,6670055,17303,6449,30149,324355,358680,736936,683035,0,12788252314,587435102,1837,[HAZE]Haze Gang
40832003,44 Farmer,64192500,85576277,698931,421728,466771,537105,5697381,1271808,8394793,6969189,0,12903561612,1475000000,52757,[~TB]~True Blood~
50569495,AQ1947,61913227,213118890,6614382,953811,1155431,664684,10080031,5357911,18211868,15437942,0,10280910226,2785350099,44913,[~TB]~True Blood~
106810107,Enоch,61621802,292579879,4402202,2186418,2617566,3730266,13075148,7061746,28671144,20136894,9045,9995517560,1755109310,30941,[~TB]~True Blood~
21332733,Armageddon Army,60603077,105735140,10965470,1654814,205397,203981,5092570,2662588,9819350,7755158,0,11151809486,1320573048,23484,[~TB]~True Blood~
24836505,Càndy Shop,60409137,250770993,8858665,551556,321033,511119,10570250,7113582,19067540,17683832,0,9919478321,17727699932,14953,[~1st]~First Blood~
29270501,Jadis child,53607800,19556618,5841637,20261,112866,382116,354709,712564,1582516,1067273,0,6324963920,1280411401,11697,[~TB]~True Blood~
23697905,ᴛᴇᴅmondo,53255315,154909505,7280863,418447,713423,799590,5437951,4791055,12160466,10229006,0,13439858197,7511914436,3765,[~1st]~First Blood~
41151325,EatPickle,52376524,17190181,4314063,4506,39033,25381,145439,777765,992124,923204,0,24880030634,0,3854,[DF69]Special Duck Forces
53509314,Sterling A,50818070,17745790,2951124,5442,3277,512,446726,663442,1119399,1110168,0,4795304756,1378903283,9723,[~TB]~True Blood~
119109140,Lemi B Daring,50740329,88689959,4544024,684219,662019,623322,6046805,1213387,9229752,7260192,0,7479552604,7625114231,26721,[~TB]~True Blood~
64040422,Monsieur Rafiki,49887059,76009184,3805688,35170,1498,117046,1812641,2870228,4836583,4682869,0,19605646621,25006540944,12995,[~TB]~True Blood~
127530244,Cengiz乄HanJR,49200302,122590847,2081659,1370948,425413,263183,3127320,4456995,9643859,7584315,257033,6348909853,861358393,6755,[~TB]~True Blood~
33448118,MaggieGreeneè,47030538,42774413,2349776,292258,298368,171544,2337743,902781,4002694,3240524,0,6111723195,2017688355,4628,[~1st]~First Blood~
41021385,Sharpi,46675383,2225080,1707701,51113,41195,5987,3808,103522,205625,107330,0,4157119623,0,502,[NWM']Nueva Orden
41017112,Der Die Das,44530868,24012099,7480884,520188,11071,52070,513428,927168,2023925,1440596,0,3791366841,0,6090,[~TB]~True Blood~
41080561,flyblack,43512401,7544171,1960486,114678,82510,16894,220820,254022,688924,474842,0,6346961927,20430577,10457,[~TB]~True Blood~
