Governor ID,Governor Name, Power at start,Kill Score at start,Dead at start,Begining Power vs Last Scan,Begining Kills vs Last Scan,Begining Dead vs Last Scan,Power Pas 4 ,Difference Pass 4,Kill Score Pas 4, Difference Pas 4 ,Dead Pas 4, Difference Pas 4, Power Pass 5&6, Difference Pass 5&6,Kill Score Pass 5&6, Difference Pass 5&6,Unit Lost Pass 5&6, Difference Pass 5&6, Power Pass 7, Difference Pass 7,Kill Score Pass 7, Difference Pass 7,Unit Lost Pass 7, Difference Pass 7, Power Kingsland , Difference Kingsland ,Kill Score Kingsland, Difference Kingsland 7,Unit Lost Kingsland, Difference Kingsland 8, Power KVK End , Difference Power KVK End ,Kill Score Power KVK End, Difference Power KVK End 9,Unit Lost Power KVK End, Difference Power KVK End 10
44415443,執政官44415443,65335260 ,35771370 ,6421400 ,2462400 ,397200 ,0 ,66958614 ,1623354 ,35888630 ,117260 ,6421400 ,0 ,67797660 ,839046 ,36168570 ,279940 ,6421400 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110925956,Enoch 4,37213097 ,22861630 ,2315389 ,547516 ,386894 ,23340 ,37649261 ,436164 ,23248524 ,386894 ,2338729 ,23340 ,37760613 ,111352 ,23248524 ,0 ,2338729 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15794649,xXxBluRRYxXx,40691143 ,85861361 ,3569999 ,56584 ,379120 ,0 ,40747727 ,56584 ,86240481 ,379120 ,3569999 ,0 ,40747727 ,0 ,86240481 ,0 ,3569999 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29270501,Jadis child,53607800 ,19556618 ,5841637 ,5690994 ,363670 ,0 ,57195100 ,3587300 ,19556618 ,,5841637 ,0 ,59298794 ,2103694 ,19920288 ,363670 ,5841637 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27410440,King Koneru 2,38048898 ,79243065 ,4093794 ,979320 ,325820 ,0 ,38635390 ,586492 ,79568885 ,325820 ,4093794 ,0 ,39028218 ,392828 ,79568885 ,0 ,4093794 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83079418,SmokyDread2,30752578 ,6173048 ,1280108 ,1230064 ,181782 ,0 ,31691332 ,938754 ,6354830 ,181782 ,1280108 ,0 ,31982642 ,291310 ,6354830 ,0 ,1280108 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10464969,WhiteTigger 2,29253592 ,116302858 ,4555917 ,540608 ,162600 ,0 ,29488084 ,234492 ,116465458 ,162600 ,4555917 ,0 ,29794200 ,306116 ,116465458 ,0 ,4555917 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67306994,DarrylDixon,34299072 ,9993991 ,1693169 ,157352 ,130320 ,0 ,33060954 ,(1238118),10124311 ,130320 ,1693169 ,0 ,34456424 ,1395470 ,10124311 ,0 ,1693169 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67535192,Dame tu boca,35623730 ,6200696 ,2545289 ,1870957 ,84060 ,0 ,36307574 ,683844 ,6200696 ,,2545289 ,0 ,37494687 ,1187113 ,6284756 ,84060 ,2545289 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53509314,Sterling A,50818070 ,17745790 ,2951124 ,2556055 ,78760 ,0 ,52272308 ,1454238 ,17745790 ,,2951124 ,0 ,53374125 ,1101817 ,17824550 ,78760 ,2951124 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33745401,CärolDîxon,42815956 ,62869536 ,2990106 ,241838 ,71550 ,0 ,42917256 ,101300 ,62941086 ,71550 ,2990106 ,0 ,43057794 ,140538 ,62941086 ,0 ,2990106 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40922165,Rendant,111054707 ,505364214 ,6750310 ,1305250 ,0 ,0 ,111705307 ,650600 ,505364214 ,,6750310 ,0 ,112359957 ,654650 ,505364214 ,0 ,6750310 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22824323,GaMik,106365848 ,1025833854 ,7119792 ,23235 ,0 ,0 ,106389083 ,23235 ,1025833854 ,,7119792 ,0 ,106389083 ,0 ,1025833854 ,0 ,7119792 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40925618,Nitmare01,96724897 ,191281539 ,4547465 ,(9780200),0 ,0 ,97219397 ,494500 ,191281539 ,,4547465 ,0 ,86944697 ,(10274700),191281539 ,0 ,4547465 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40958747,AHMED1977,81649130 ,290309073 ,13316765 ,1739590 ,0 ,0 ,82862940 ,1213810 ,290309073 ,,13316765 ,0 ,83388720 ,525780 ,290309073 ,0 ,13316765 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
