Governor ID,Governor Name, Power at start ,Kill Score at start,Dead at start,Begining Power vs Last Scan,Begining Kills vs Last Scan,Begining Dead vs Last Scan, Power Pas 4 ,Difference Pass 4,Kill Score Pas 4, Difference Pas 4 ,Dead Pas 4, Difference Pas 4 2, Power Pass 5&6, Difference Pass 5&6,Kill Score Pass 5&6, Difference Pass 5&6,Unit Lost Pass 5&6, Difference Pass 5&6, Power Pass 7, Difference Pass 7,Kill Score Pass 7, Difference Pass 7,Unit Lost Pass 7, Difference Pass 7, Power Kingsland , Difference Kingsland ,Kill Score Kingsland, Difference Kingsland 7,Unit Lost Kingsland, Difference Kingsland 8, Power KVK End , Difference Power KVK End ,Kill Score Power KVK End, Difference Power KVK End 9,Unit Lost Power KVK End, Difference Power KVK End 10
29270501,Jadis child,"53,607,800","19,556,618","5,841,637","5,690,994","363,670",0,"57,195,100","3,587,300","19,556,618",,"5,841,637",0,59298794,"2,103,694",19920288,"363,670",5841637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23697905,???mondo,"53,255,315","154,909,505","7,280,863","684,000",0,0,"53,659,315","404,000","154,909,505",,"7,280,863",0,53939315,"280,000",154909505,0,7280863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41151325,EatPickle,"52,376,524","17,190,181","4,314,063","710,492",0,0,"52,755,484","378,960","17,190,181",,"4,314,063",0,53087016,"331,532",17190181,0,4314063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53509314,Sterling A,"50,818,070","17,745,790","2,951,124","2,556,055","78,760",0,"52,272,308","1,454,238","17,745,790",,"2,951,124",0,53374125,"1,101,817",17824550,"78,760",2951124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33448118,MaggieGreeneè,"47,030,538","42,774,413","2,349,776","749,361",0,0,"47,199,142","168,604","42,774,413",,"2,349,776",0,47779899,"580,757",42774413,0,2349776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41021385,Sharpi,"46,675,383","2,225,080","1,707,701","1,078,380",0,0,"47,393,704","718,321","2,225,080",,"1,707,701",0,47753763,"360,059",2225080,0,1707701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41017112,Der Die Das,"44,530,868","24,012,099","7,480,884","52,534",0,0,"44,530,868",0,"24,012,099",,"7,480,884",0,44583402,"52,534",24012099,0,7480884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41080561,flyblack,"43,487,721","7,544,171","1,960,486","2,401,220",0,0,"44,632,180","1,144,459","7,544,171",,"1,960,486",0,45888941,"1,256,761",7544171,0,1960486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78595609,??? 2,"43,460,768","4,190,098","1,762,170","118,160",0,0,"43,554,928","94,160","4,190,098",,"1,762,170",0,43578928,"24,000",4190098,0,1762170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40960077,10061970,"41,168,271","34,130,620","13,793,187","1,560,348",0,0,"42,228,328","1,060,057","34,130,620",,"13,793,187",0,42728619,"500,291",34130620,0,13793187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
