Governor ID,Governor Name,Power,Kill Points,Deaths,T1,T2,T3,T4,T5,Kills,Kills (T4+),Ranged Points,RSS Gathered,RSS Assistance,Helps,Alliance
27410440,King Koneru 2,38578590,79568885,4093794,862256,13734,27614,3700727,2112562,6716893,5813289,0,14088338324,10866339821,16822,[MC74]Masters of Courage
33508521,JohnWICK1,37781163,4809781,1686961,5827,0,11049,395248,40597,452721,435845,0,4379079158,33239960,2284,[~IP]"Important Person"
110925956,Enoch 4,37752337,22861630,2315389,1644402,511049,665303,1387838,248553,4457145,1636391,0,5283995615,1359117879,5275,[~TB]~True Blood~
67535192,Dame tu boca,36146210,6200696,2545289,316624,519483,23474,173181,163635,1196397,336816,0,4402945172,2038285791,14027,[~TB]~True Blood~
64043900,Lemi B Sweet,35692536,2655723,2017051,14347,5982,1085,239407,12124,272945,251531,0,7002326905,7164105964,8059,[~TB]~True Blood~
28469676,Mini Clodo,35400759,11613923,5639836,295045,130428,1697,488607,320060,1235837,808667,0,10709186533,3005328185,9854,[~TB]~True Blood~
67306994,DarrylDixon,33060954,10124311,1693169,80627,28824,14922,557307,220889,902569,778196,0,4364569717,366012365,7820,[EV99]Emerald Valkyrie
41003447,Buddha is life,31564506,11188838,6343158,39154,113675,52452,87577,493404,786262,580981,0,2246885389,96859998,1464,-
62362414,1Clark1,31548815,4573613,2160377,22706,1714,16,35140,210709,270285,245849,0,2261779806,250210181,1957,[KIJB]radgd IJyuo)
83079418,SmokyDread2,31294888,6354830,1280108,13612,30581,1559,210307,209082,465141,419389,0,2645260348,3234086039,2936,[~TB]~True Blood~
37783566,WhiteTigger 1,31144607,112986369,5078886,207379,206275,148816,4028216,3582746,8173432,7610962,0,10439815134,12227255213,6605,[~TB]~True Blood~
41377688,showmethemone,30846572,9060381,182706,321616,770725,252437,615088,14699,1974565,629787,0,3575940410,79661122,11344,[~1st]~First Blood~
21292925,XBlurryFaceX,30084781,31079123,2367022,77856,51830,188788,1013264,1003605,2335343,2016869,0,3157301265,780034759,6044,[99cd]Crimson Dragons
46936164,IamNegaN,29926600,8233901,3213105,162359,211828,3071,338473,219038,934769,557511,0,4254495527,15270548,2899,[K!{l]The Killhouse
10464969,WhiteTigger 2,29462504,116465458,4555917,191991,161269,111568,4533227,3516299,8514354,8049526,0,10053685148,11074314382,7098,[~TB]~True Blood~
43915163,Steamed Bunn,29031051,7047116,297420,4042,36346,889,21204,337901,400382,359105,0,3325851108,487713554,1615,[~TB]~True Blood~
59266248,Legatus Rafiki,28653099,12279964,2582507,16452,44390,4891,236633,490100,792466,726733,0,19031181279,16986522962,5234,[M599]TheFaeWild
71188633,Aureus Rafiki,28514846,7162661,3320281,1138,2817,8285,221066,245650,478956,466716,0,15334990357,14169096564,5697,[~TB]~True Blood~
69476065,LittleDilSwag,25033852,4947814,960109,157472,345928,321356,150306,71799,1046861,222105,0,3547472817,2708398217,4043,[~TB]~True Blood~
67340655,WhiteTigger 3,24392438,76646649,3520200,376736,447732,153972,2412391,2546802,5937633,4959193,0,8364842997,9894677143,6822,[~TB]~True Blood~
14958429,Lemi B Fearless,24008523,293033,107838,3286,38,380,29078,0,32782,29078,0,2749824072,471344914,4636,[~TB]~True Blood~
75731100,Hádes Rules,22785987,2145020,1435562,0,0,0,108962,52770,161732,161732,0,2356385905,393729187,1613,[DF69]Special Duck Forces
17998242,Ashraful??,22030972,31079765,4469814,12155,37534,8219,2103817,496561,2658286,2600378,0,7094072386,6931032693,4885,[~TB]~True Blood~
53543225,Pawsitivë,21377966,4683629,1122862,14929,18218,76017,434014,0,543178,434014,0,2489566755,342924900,5555,[DF69]Special Duck Forces
31073821,7363gwgw6t3,21185584,1241871,131859,52335,296429,84,21787,21017,391652,42804,0,1913035098,962806977,845,[~TB]~True Blood~
60775515,King Koneru 3,19170979,7814558,1025292,18672,36129,11239,416735,176313,659088,593048,0,6431951620,5231897385,2791,[~TB]~True Blood~
93304921,WhiteTigger 4,18821684,31300003,1885723,51755,6339,3546,970353,1077963,2109956,2048316,0,5384710004,5087991671,2793,[~TB]~True Blood~
124021929,Lamonius Rae,18575159,8950174,1135438,2973,7899,11613,877561,5586,905632,883147,0,4369695225,2551537659,3850,[Eiyy]DarkGuilder
41062624,Governor41062624,17290251,4845248,2824646,177474,293979,20074,281706,66222,839455,347928,0,2427698768,19635612,2683,-
136121131,Enoch 5,16995543,1135824,1161269,6370,46,12317,47411,30554,96698,77965,0,2710744521,923807848,948,[~TB]~True Blood~
34855374,GaMic,16642639,2670853,1490850,164778,179,15,125542,69103,359617,194645,0,5272554244,873456620,5120,[~1st]~First Blood~
128157927,thiênnnn,16335540,132628,0,8061,15478,19460,2222,0,45221,2222,0,7670800374,7243140809,732,-
102533250,Enoch 2,15499028,10536027,1093413,415747,2015331,1074449,156130,28156,3689813,184286,0,2289018957,1207694468,3454,[~TB]~True Blood~
